Case Number,Day of the Week,Time of the Day,Nature of the Call
B17-39391,Sunday,NIGHT,DOMESTIC IP
B17-39389,Sunday,NIGHT,SUSP ACT IP
B17-39390,Sunday,NIGHT,SUSP ACT IP
B17-39388,Sunday,NIGHT,SUSP ACT IP
B17-39387,Sunday,NIGHT,WELFARE CHK IP
B17-39384,Sunday,NIGHT,SUSP ACT IP
B17-39383,Sunday,NIGHT,TRAFFIC STOP
B17-39382,Sunday,NIGHT,TRAFFIC STOP
B17-39385,Sunday,NIGHT,THEFT NP
B17-39386,Sunday,NIGHT,VANDALISM NP
B17-39381,Sunday,NIGHT,WELFARE CHK IP
B17-39380,Sunday,NIGHT,ATL
B17-39379,Sunday,NIGHT,SUSP ACT IP
B17-39378,Sunday,NIGHT,JUVENILE
B17-39377,Sunday,NIGHT,ATL
B17-39375,Sunday,NIGHT,TRAFFIC HAZARD
B17-39373,Sunday,NIGHT,SUSP ACT IP
B17-39372,Sunday,NIGHT,TRAFFIC STOP
B17-39376,Sunday,NIGHT,FOLLOW UP
B17-39370,Sunday,NIGHT,SUSP ACT IP
B17-39371,Sunday,DAY,JUVENILE
B17-39374,Sunday,DAY,THEFT NP
B17-39369,Sunday,DAY,WELFARE CHK IP
B17-39368,Sunday,DAY,WEAPONS IP
B17-39366,Sunday,DAY,DOMESTIC IP
B17-39367,Sunday,DAY,CIVIL NP
B17-39364,Sunday,DAY,FOLLOW UP
B17-39363,Sunday,DAY,BLDG CHECK
B17-39365,Sunday,DAY,VANDALISM NP
B17-39362,Sunday,DAY,SUSP ACT IP
B17-39361,Sunday,DAY,TRESPASS IP
B17-39360,Sunday,DAY,ABANDONED VEH
B17-39359,Sunday,DAY,TRAFFIC STOP
B17-39358,Sunday,DAY,TRAFFIC STOP
B17-39357,Sunday,DAY,TRAFFIC STOP
B17-39356,Sunday,DAY,PROPERTY
B17-39355,Sunday,DAY,ACCIDENT PD NP
B17-39354,Sunday,DAY,THEFT IP
B17-39353,Sunday,DAY,PARKING
B17-39352,Sunday,DAY,TRAFFIC STOP
B17-39351,Sunday,DAY,TRAFFIC STOP
B17-39349,Sunday,DAY,DRUGS IP
B17-39347,Sunday,DAY,SEX ASSAULT NP
B17-39350,Sunday,DAY,THEFT NP
B17-39346,Sunday,DAY,SUSP ACT IP
B17-39348,Sunday,DAY,ROV NP
B17-39345,Sunday,DAY,WELFARE CHK IP
B17-39343,Sunday,DAY,ASSAULT IP
B17-39342,Sunday,DAY,ACCIDENT PI
B17-39344,Sunday,DAY,CIVIL NP
B17-39341,Sunday,DAY,TRAFFIC STOP
B17-39339,Sunday,DAY,TRAFFIC STOP
B17-39340,Sunday,DAY,ACCIDENT LSA NP
B17-39338,Sunday,DAY,TRAFFIC STOP
B17-39337,Sunday,DAY,TRESPASS IP
B17-39335,Sunday,DAY,BURGLARY NP
B17-39334,Sunday,DAY,FOLLOW UP
B17-39336,Sunday,DAY,THEFT NP
B17-39333,Sunday,DAY,DISTURBANCE IP
B17-39332,Sunday,DAY,WELFARE CHK IP
B17-39331,Sunday,DAY,TRESPASS IP
B17-39330,Sunday,DAY,EXTRA PATROL
B17-39329,Sunday,DAY,WELFARE CHK IP
B17-39326,Sunday,DAY,TRAFFIC STOP
B17-39327,Sunday,DAY,VANDALISM NP
B17-39328,Sunday,DAY,TRAFFIC HAZARD
B17-39324,Sunday,DAY,ACCIDENT LSA IP
B17-39325,Sunday,DAY,HARASSMENT NP
B17-39321,Sunday,DAY,THEFT NP
B17-39322,Sunday,DAY,TRESPASS NP
B17-39320,Sunday,DAY,VANDALISM NP
B17-39323,Sunday,MORNING,ABANDONED VEH
B17-39318,Sunday,MORNING,EXTRA PATROL
B17-39317,Sunday,MORNING,TRAFFIC HAZARD
B17-39319,Sunday,MORNING,ANIMAL
B17-39316,Sunday,MORNING,ACCIDENT PD IP
B17-39315,Sunday,MORNING,ALARM
B17-39314,Sunday,MORNING,THEFT NP
B17-39313,Sunday,MORNING,CIVIL IP
B17-39312,Sunday,MORNING,ATL
B17-39310,Sunday,MORNING,SERVICE IP
B17-39309,Sunday,MORNING,THEFT NP
B17-39308,Sunday,MORNING,THEFT IP
B17-39311,Sunday,MORNING,VANDALISM NP
B17-39307,Sunday,MORNING,THEFT NP
B17-39306,Sunday,MORNING,TRESPASS IP
B17-39305,Sunday,MORNING,ALARM
B17-39304,Sunday,MORNING,ACCIDENT PD NP
B17-39302,Sunday,MORNING,TRAFFIC STOP
B17-39301,Sunday,MORNING,SUSP ACT IP
B17-39300,Sunday,MORNING,TRAFFIC STOP
B17-39299,Sunday,MORNING,TRAFFIC STOP
B17-39303,Sunday,MORNING,PROPERTY
B17-39298,Sunday,MORNING,WELFARE CHK IP
B17-39297,Sunday,MORNING,WEAPONS IP
B17-39296,Sunday,MORNING,SUSP ACT IP
B17-39295,Sunday,MORNING,ALARM
B17-39294,Sunday,MORNING,THEFT NP
B17-39293,Sunday,MORNING,TRESPASS IP
B17-39292,Sunday,MORNING,WELFARE CHK IP
B17-39291,Sunday,MORNING,SUSP ACT IP
B17-39289,Sunday,MORNING,TRAFFIC STOP
B17-39288,Sunday,MORNING,TRAFFIC STOP
B17-39290,Sunday,MORNING,VEH THEFT NP
B17-39287,Sunday,MORNING,TRAFFIC STOP
B17-39285,Sunday,MORNING,TRAFFIC STOP
B17-39286,Sunday,MORNING,ALARM
B17-39284,Sunday,MORNING,THEFT IP
B17-39283,Sunday,MORNING,PARKING
B17-39282,Sunday,NIGHT,DRUGS IP
B17-39281,Sunday,NIGHT,DISTURBANCE IP
B17-39280,Sunday,NIGHT,NOISE
B17-39279,Sunday,NIGHT,ATL
B17-39278,Sunday,NIGHT,DISTURBANCE IP
B17-39277,Sunday,NIGHT,NOISE
B17-39276,Sunday,NIGHT,WEAPONS IP
B17-39275,Sunday,NIGHT,WELFARE CHK IP
B17-39274,Sunday,NIGHT,NOISE
B17-39272,Sunday,NIGHT,ALARM
B17-39273,Sunday,NIGHT,NOISE
B17-39271,Sunday,NIGHT,SUSP ACT IP
B17-39270,Sunday,NIGHT,FOLLOW UP
B17-39269,Sunday,NIGHT,FOLLOW UP
B17-39268,Sunday,NIGHT,ACCIDENT PI
B17-39266,Sunday,NIGHT,SUSP ACT IP
B17-39267,Sunday,NIGHT,WELFARE CHK IP
B17-39265,Sunday,NIGHT,DISTURBANCE IP
B17-39264,Sunday,NIGHT,INFORMATION
B17-39263,Sunday,NIGHT,WELFARE CHK IP
B17-39262,Sunday,NIGHT,INFORMATION
B17-39261,Sunday,NIGHT,SUSP ACT IP
B17-39260,Sunday,NIGHT,WEAPONS IP
B17-39259,Sunday,NIGHT,SUSP ACT IP
B17-39258,Sunday,NIGHT,DISTURBANCE IP
B17-39256,Sunday,NIGHT,VANDALISM IP
B17-39257,Sunday,NIGHT,ATL
B17-39254,Sunday,NIGHT,WEAPONS IP
B17-39253,Sunday,NIGHT,WEAPONS IP
B17-39252,Sunday,NIGHT,WEAPONS NP
B17-39255,Sunday,NIGHT,PARKING
B17-39251,Sunday,NIGHT,NOISE
B17-39250,Sunday,NIGHT,SUSP ACT IP
B17-39249,Sunday,NIGHT,SERVICE IP
B17-39248,Sunday,NIGHT,NOISE
B17-39245,Sunday,NIGHT,ALARM
B17-39244,Sunday,NIGHT,OTHER
B17-39246,Saturday,NIGHT,ANIMAL
B17-39247,Saturday,NIGHT,CIVIL NP
B17-39243,Saturday,NIGHT,WELFARE CHK IP
B17-39242,Saturday,NIGHT,ANIMAL
B17-39240,Saturday,NIGHT,SUSP ACT IP
B17-39241,Saturday,NIGHT,NOISE
B17-39239,Saturday,NIGHT,TRAFFIC STOP
B17-39238,Saturday,NIGHT,TRAFFIC STOP
B17-39237,Saturday,NIGHT,TRAFFIC STOP
B17-39235,Saturday,NIGHT,SUSP ACT IP
B17-39234,Saturday,NIGHT,TRAFFIC STOP
B17-39231,Saturday,NIGHT,TRAFFIC STOP
B17-39232,Saturday,NIGHT,WELFARE CHK IP
B17-39230,Saturday,NIGHT,TRAFFIC STOP
B17-39229,Saturday,NIGHT,TRAFFIC STOP
B17-39236,Saturday,NIGHT,NOISE
B17-39228,Saturday,NIGHT,TRAFFIC STOP
B17-39233,Saturday,NIGHT,ACCIDENT PD IP
B17-39227,Saturday,NIGHT,SUSP ACT IP
B17-39226,Saturday,NIGHT,ATL
B17-39225,Saturday,NIGHT,TRAFFIC STOP
B17-39224,Saturday,NIGHT,THEFT IP
B17-39222,Saturday,NIGHT,VANDALISM NP
B17-39223,Saturday,NIGHT,TRESPASS IP
B17-39221,Saturday,NIGHT,WELFARE CHK IP
B17-39219,Saturday,NIGHT,PANHANDLING
B17-39218,Saturday,NIGHT,SUSP ACT IP
B17-39217,Saturday,NIGHT,TRAFFIC STOP
B17-39220,Saturday,NIGHT,SUSP ACT IP
B17-39214,Saturday,NIGHT,TRAFFIC STOP
B17-39215,Saturday,NIGHT,TRAFFIC HAZARD
B17-39216,Saturday,NIGHT,TRAFFIC HAZARD
B17-39213,Saturday,NIGHT,SERVICE IP
B17-39210,Saturday,NIGHT,DOMESTIC IP
B17-39211,Saturday,NIGHT,WELFARE CHK IP
B17-39212,Saturday,NIGHT,TRESPASS IP
B17-39209,Saturday,NIGHT,DOMESTIC IP
B17-39208,Saturday,NIGHT,TRAFFIC STOP
B17-39207,Saturday,NIGHT,TRAFFIC STOP
B17-39206,Saturday,NIGHT,TRAFFIC STOP
B17-39205,Saturday,NIGHT,FOLLOW UP
B17-39204,Saturday,NIGHT,SUSP ACT IP
B17-39201,Saturday,NIGHT,FOLLOW UP
B17-39200,Saturday,NIGHT,DISTURBANCE IP
B17-39199,Saturday,NIGHT,DOMESTIC IP
B17-39202,Saturday,NIGHT,THEFT NP
B17-39203,Saturday,NIGHT,ACCIDENT PD NP
B17-39198,Saturday,DAY,TRESPASS IP
B17-39197,Saturday,DAY,WELFARE CHK IP
B17-39194,Saturday,DAY,ASSAULT IP
B17-39195,Saturday,DAY,HARASSMENT NP
B17-39196,Saturday,DAY,VANDALISM NP
B17-39192,Saturday,DAY,EXTRA PATROL
B17-39191,Saturday,DAY,ACCIDENT PD IP
B17-39193,Saturday,DAY,ACCIDENT LSA NP
B17-39190,Saturday,DAY,WELFARE CHK IP
B17-39189,Saturday,DAY,FVEHICLE FIRE
B17-39188,Saturday,DAY,ALARM
B17-39187,Saturday,DAY,ACCIDENT PD IP
B17-39184,Saturday,DAY,DOMESTIC NP
B17-39183,Saturday,DAY,TRAFFIC STOP
B17-39182,Saturday,DAY,VANDALISM NP
B17-39181,Saturday,DAY,WELFARE CHK IP
B17-39180,Saturday,DAY,SUSP ACT IP
B17-39179,Saturday,DAY,MOTORIST ASSIST
B17-39178,Saturday,DAY,SERVICE IP
B17-39177,Saturday,DAY,TRAFFIC HAZARD
B17-39185,Saturday,DAY,FOLLOW UP
B17-39176,Saturday,DAY,DISTURBANCE IP
B17-39186,Saturday,DAY,TRAFFIC HAZARD
B17-39173,Saturday,DAY,MOTORIST ASSIST
B17-39174,Saturday,DAY,ALARM
B17-39172,Saturday,DAY,RUNAWAY
B17-39171,Saturday,DAY,ALARM
B17-39175,Saturday,DAY,THEFT NP
B17-39170,Saturday,DAY,ALARM
B17-39169,Saturday,DAY,HARASSMENT NP
B17-39168,Saturday,DAY,TRAFFIC STOP
B17-39167,Saturday,DAY,WELFARE CHK IP
B17-39165,Saturday,DAY,WELFARE CHK IP
B17-39163,Saturday,DAY,ASSAULT NP
B17-39162,Saturday,DAY,MOTORIST ASSIST
B17-39166,Saturday,DAY,NOISE
B17-39161,Saturday,DAY,DISTURBANCE IP
B17-39160,Saturday,DAY,MOTORIST ASSIST
B17-39164,Saturday,DAY,NOISE
B17-39159,Saturday,DAY,ACCIDENT PD IP
B17-39158,Saturday,DAY,THEFT IP
B17-39156,Saturday,DAY,TRAFFIC STOP
B17-39157,Saturday,DAY,RUNAWAY
B17-39155,Saturday,DAY,ACCIDENT PD IP
B17-39154,Saturday,DAY,TRAFFIC STOP
B17-39153,Saturday,DAY,TRAFFIC STOP
B17-39152,Saturday,DAY,ACCIDENT PD IP
B17-39151,Saturday,DAY,TRAFFIC STOP
B17-39150,Saturday,DAY,FOLLOW UP
B17-39149,Saturday,DAY,CIVIL IP
B17-39148,Saturday,DAY,WELFARE CHK IP
B17-39147,Saturday,DAY,TRAFFIC STOP
B17-39144,Saturday,DAY,TRAFFIC STOP
B17-39146,Saturday,DAY,ACCIDENT LSA IP
B17-39145,Saturday,DAY,DEATH
B17-39143,Saturday,DAY,DRUNK
B17-39142,Saturday,DAY,ACCIDENT PI
B17-39141,Saturday,DAY,ROV IP
B17-39140,Saturday,DAY,HARASSMENT NP
B17-39138,Saturday,DAY,ACCIDENT PD IP
B17-39137,Saturday,DAY,MISSING PERSON
B17-39139,Saturday,DAY,NOISE
B17-39135,Saturday,MORNING,INFORMATION
B17-39134,Saturday,MORNING,ALARM
B17-39133,Saturday,MORNING,ACCIDENT PI
B17-39136,Saturday,MORNING,FOLLOW UP
B17-39132,Saturday,MORNING,TRAFFIC STOP
B17-39131,Saturday,MORNING,ALARM
B17-39130,Saturday,MORNING,DOMESTIC IP
B17-39129,Saturday,MORNING,ACCIDENT LSA NP
B17-39128,Saturday,MORNING,ANIMAL
B17-39127,Saturday,MORNING,PARKING
B17-39126,Saturday,MORNING,ACCIDENT PD IP
B17-39125,Saturday,MORNING,COMM ENGAGEMENT
B17-39124,Saturday,MORNING,PARKING
B17-39121,Saturday,MORNING,TRAFFIC STOP
B17-39123,Saturday,MORNING,ASSAULT NP
B17-39120,Saturday,MORNING,FOLLOW UP
B17-39122,Saturday,MORNING,ASSAULT NP
B17-39118,Saturday,MORNING,TRAFFIC STOP
B17-39119,Saturday,MORNING,ALARM
B17-39117,Saturday,MORNING,ACCIDENT PI
B17-39116,Saturday,MORNING,TRAFFIC HAZARD
B17-39115,Saturday,MORNING,TRAFFIC STOP
B17-39114,Saturday,MORNING,BURGLARY NP
B17-39113,Saturday,MORNING,SUSP ACT IP
B17-39112,Saturday,MORNING,TRAFFIC STOP
B17-39111,Saturday,MORNING,TRAFFIC STOP
B17-39110,Saturday,MORNING,TRAFFIC STOP
B17-39109,Saturday,MORNING,TRAFFIC STOP
B17-39108,Saturday,MORNING,DISTURBANCE IP
B17-39107,Saturday,MORNING,TRAFFIC STOP
B17-39106,Saturday,MORNING,TRAFFIC STOP
B17-39105,Saturday,MORNING,TRAFFIC STOP
B17-39104,Saturday,MORNING,TRAFFIC STOP
B17-39103,Saturday,MORNING,THEFT IP
B17-39102,Saturday,MORNING,TRAFFIC STOP
B17-39101,Saturday,MORNING,TRAFFIC STOP
B17-39100,Saturday,MORNING,DOMESTIC IP
B17-39099,Saturday,MORNING,TRAFFIC STOP
B17-39098,Saturday,NIGHT,TRAFFIC STOP
B17-39097,Saturday,NIGHT,SUSP ACT IP
B17-39096,Saturday,NIGHT,SUSP ACT IP
B17-39095,Saturday,NIGHT,BURGLARY NP
B17-39094,Saturday,NIGHT,ATL
B17-39093,Saturday,NIGHT,HARASSMENT IP
B17-39091,Saturday,NIGHT,TRAFFIC STOP
B17-39092,Saturday,NIGHT,DRUNK
B17-39090,Saturday,NIGHT,ALARM
B17-39088,Saturday,NIGHT,ACCIDENT UNK
B17-39087,Saturday,NIGHT,DISTURBANCE IP
B17-39086,Saturday,NIGHT,ALARM
B17-39084,Saturday,NIGHT,SUSP ACT IP
B17-39081,Saturday,NIGHT,SUSP ACT IP
B17-39083,Saturday,NIGHT,SUSP ACT IP
B17-39082,Saturday,NIGHT,DISTURBANCE IP
B17-39085,Saturday,NIGHT,NOISE
B17-39080,Saturday,NIGHT,ASSAULT NP
B17-39079,Saturday,NIGHT,TRAFFIC STOP
B17-39078,Saturday,NIGHT,TRAFFIC STOP
B17-39077,Saturday,NIGHT,TRAFFIC STOP
B17-39075,Saturday,NIGHT,DISTURBANCE IP
B17-39074,Saturday,NIGHT,SUSP ACT IP
B17-39076,Saturday,NIGHT,SEX OFFENSE IP
B17-39073,Saturday,NIGHT,NOISE
B17-39072,Friday,NIGHT,THEFT IP
B17-39071,Friday,NIGHT,ALARM
B17-39070,Friday,NIGHT,WELFARE CHK IP
B17-39069,Friday,NIGHT,NOISE
B17-39068,Friday,NIGHT,BLDG CHECK
B17-39067,Friday,NIGHT,ASSAULT IP
B17-39066,Friday,NIGHT,SUSP ACT IP
B17-39064,Friday,NIGHT,ASSAULT IP
B17-39063,Friday,NIGHT,TRAFFIC STOP
B17-39062,Friday,NIGHT,DISTURBANCE IP
B17-39065,Friday,NIGHT,NOISE
B17-39061,Friday,NIGHT,TRAFFIC STOP
B17-39058,Friday,NIGHT,TRAFFIC STOP
B17-39057,Friday,NIGHT,TRAFFIC STOP
B17-39059,Friday,NIGHT,DOMESTIC IP
B17-39060,Friday,NIGHT,HARASSMENT IP
B17-39055,Friday,NIGHT,SUSP ACT IP
B17-39089,Friday,NIGHT,EXTRA PATROL
B17-39054,Friday,NIGHT,DISTURBANCE IP
B17-39056,Friday,NIGHT,ACCIDENT LSA NP
B17-39053,Friday,NIGHT,JUVENILE
B17-39052,Friday,NIGHT,PARKING
B17-39051,Friday,NIGHT,WELFARE CHK IP
B17-39050,Friday,NIGHT,WELFARE CHK IP
B17-39049,Friday,NIGHT,ALARM
B17-39048,Friday,NIGHT,TRESPASS IP
B17-39046,Friday,NIGHT,MISSING PERSON
B17-39045,Friday,NIGHT,FOLLOW UP
B17-39043,Friday,NIGHT,ALARM
B17-39041,Friday,NIGHT,DISTURBANCE IP
B17-39044,Friday,NIGHT,THEFT NP
B17-39039,Friday,NIGHT,TRAFFIC HAZARD
B17-39047,Friday,NIGHT,PROPERTY
B17-39038,Friday,DAY,WELFARE CHK IP
B17-39037,Friday,DAY,DISTURBANCE IP
B17-39042,Friday,DAY,ATL
B17-39036,Friday,DAY,FOLLOW UP
B17-39035,Friday,DAY,PROPERTY
B17-39034,Friday,DAY,RUNAWAY
B17-39033,Friday,DAY,ANIMAL
B17-39031,Friday,DAY,ACCIDENT PD IP
B17-39032,Friday,DAY,ALARM
B17-39030,Friday,DAY,SUSP ACT IP
B17-39027,Friday,DAY,DISTURBANCE IP
B17-39026,Friday,DAY,EXTRA PATROL
B17-39024,Friday,DAY,SUSP ACT IP
B17-39029,Friday,DAY,DRUGS IP
B17-39025,Friday,DAY,CIVIL NP
B17-39023,Friday,DAY,ACCIDENT PD IP
B17-39021,Friday,DAY,SERVICE IP
B17-39028,Friday,DAY,ATL
B17-39020,Friday,DAY,ACCIDENT LSA IP
B17-39018,Friday,DAY,SUSP ACT IP
B17-39019,Friday,DAY,FRAUD
B17-39017,Friday,DAY,TRAFFIC STOP
B17-39016,Friday,DAY,TRAFFIC STOP
B17-39022,Friday,DAY,CIVIL NP
B17-39015,Friday,DAY,ATL
B17-39014,Friday,DAY,TRAFFIC STOP
B17-39040,Friday,DAY,FOLLOW UP
B17-39013,Friday,DAY,TRAFFIC STOP
B17-39011,Friday,DAY,ASSIGNED DETAIL
B17-39012,Friday,DAY,DISTURBANCE IP
B17-39010,Friday,DAY,FOLLOW UP
B17-39008,Friday,DAY,DRUGS NP
B17-39009,Friday,DAY,PANHANDLING
B17-39007,Friday,DAY,ALARM
B17-39005,Friday,DAY,SUSP ACT IP
B17-39004,Friday,DAY,DISTURBANCE IP
B17-39002,Friday,DAY,TRAFFIC STOP
B17-39006,Friday,DAY,ACCIDENT PD IP
B17-39003,Friday,DAY,HARASSMENT NP
B17-39001,Friday,DAY,ACCIDENT PD IP
B17-39000,Friday,DAY,FOLLOW UP
B17-38999,Friday,DAY,ACCIDENT PI
B17-38997,Friday,DAY,SERVICE IP
B17-38996,Friday,DAY,BURGLARY IP
B17-38995,Friday,DAY,TRAFFIC STOP
B17-38993,Friday,DAY,DISTURBANCE IP
B17-38992,Friday,DAY,WELFARE CHK IP
B17-38998,Friday,DAY,FOLLOW UP
B17-38991,Friday,DAY,TRAFFIC STOP
B17-38990,Friday,DAY,TRAFFIC STOP
B17-38988,Friday,DAY,TRAFFIC STOP
B17-38989,Friday,DAY,TRAFFIC HAZARD
B17-38987,Friday,DAY,ACCIDENT PD IP
B17-38986,Friday,DAY,TRAFFIC STOP
B17-38984,Friday,DAY,FOLLOW UP
B17-38985,Friday,DAY,HARASSMENT NP
B17-38983,Friday,DAY,SEX OFFENSE NP
B17-38982,Friday,DAY,THEFT NP
B17-38981,Friday,DAY,PARKING
B17-38980,Friday,DAY,DISTURBANCE IP
B17-38979,Friday,DAY,PARKING
B17-38975,Friday,DAY,SUSP ACT IP
B17-38976,Friday,DAY,TRESPASS IP
B17-38977,Friday,DAY,FOLLOW UP
B17-38972,Friday,DAY,TRAFFIC STOP
B17-38973,Friday,DAY,SUSP ACT IP
B17-38974,Friday,DAY,THEFT NP
B17-38971,Friday,DAY,PARKING
B17-38969,Friday,DAY,THEFT IP
B17-38978,Friday,DAY,FOLLOW UP
B17-38968,Friday,DAY,THEFT NP
B17-38970,Friday,DAY,PARKING
B17-38967,Friday,DAY,SEX OFFENSE NP
B17-38966,Friday,DAY,TRAFFIC STOP
B17-38965,Friday,DAY,THEFT IP
B17-38963,Friday,DAY,DRUGS NP
B17-38961,Friday,DAY,COMM ENGAGEMENT
B17-38962,Friday,DAY,TRESPASS IP
B17-38960,Friday,DAY,ACCIDENT PI
B17-38964,Friday,MORNING,RECOVERED VT
B17-38957,Friday,MORNING,ACCIDENT PD IP
B17-38959,Friday,MORNING,TOW IN
B17-38956,Friday,MORNING,ALARM
B17-38955,Friday,MORNING,TRAFFIC STOP
B17-38958,Friday,MORNING,DOMESTIC NP
B17-38954,Friday,MORNING,TRAFFIC HAZARD
B17-38953,Friday,MORNING,PARKING
B17-38952,Friday,MORNING,ACCIDENT PD IP
B17-38951,Friday,MORNING,TRAFFIC STOP
B17-38950,Friday,MORNING,TRAFFIC STOP
B17-38948,Friday,MORNING,ALARM
B17-38947,Friday,MORNING,SUSP ACT IP
B17-38946,Friday,MORNING,DOMESTIC IP
B17-38945,Friday,MORNING,ACCIDENT PD IP
B17-38944,Friday,MORNING,THEFT IP
B17-38949,Friday,MORNING,THEFT NP
B17-38943,Friday,MORNING,TOW IN
B17-38942,Friday,MORNING,ALARM
B17-38941,Friday,MORNING,SUSP ACT IP
B17-38940,Friday,MORNING,VANDALISM NP
B17-38939,Friday,MORNING,TOW IN
B17-38938,Friday,MORNING,SUSP ACT IP
B17-38937,Friday,MORNING,TRAFFIC STOP
B17-38936,Friday,MORNING,WELFARE CHK IP
B17-38935,Friday,MORNING,TRAFFIC STOP
B17-38934,Friday,MORNING,TRAFFIC STOP
B17-38933,Friday,MORNING,TRAFFIC STOP
B17-38932,Friday,MORNING,THEFT NP
B17-38931,Friday,MORNING,MOTORIST ASSIST
B17-38930,Friday,MORNING,ALARM
B17-38929,Friday,MORNING,THEFT NP
B17-38928,Friday,MORNING,ALARM
B17-38927,Friday,MORNING,TRAFFIC STOP
B17-38926,Friday,MORNING,TRAFFIC STOP
B17-38925,Friday,MORNING,PROPERTY
B17-38924,Friday,MORNING,TRAFFIC STOP
B17-38923,Friday,MORNING,ALARM
B17-38922,Friday,NIGHT,SUSP ACT IP
B17-38921,Friday,NIGHT,SUSP ACT IP
B17-38920,Friday,NIGHT,MENTAL HLTH IP
B17-38919,Friday,NIGHT,WELFARE CHK IP
B17-38918,Friday,NIGHT,TRAFFIC STOP
B17-38917,Friday,NIGHT,THEFT NP
B17-38915,Friday,NIGHT,SUSP ACT IP
B17-38916,Friday,NIGHT,NOISE
B17-38914,Friday,NIGHT,DRUNK
B17-38913,Friday,NIGHT,SUSP ACT IP
B17-38912,Friday,NIGHT,TRAFFIC STOP
B17-38911,Friday,NIGHT,TRAFFIC STOP
B17-38910,Friday,NIGHT,SUSP ACT IP
B17-38909,Friday,NIGHT,SUSP ACT IP
B17-38908,Friday,NIGHT,SUSP ACT IP
B17-38907,Friday,NIGHT,DOMESTIC IP
B17-38905,Friday,NIGHT,SUSP ACT IP
B17-38904,Friday,NIGHT,SERVICE IP
B17-38901,Friday,NIGHT,TRAFFIC STOP
B17-38900,Friday,NIGHT,DRUNK
B17-38902,Friday,NIGHT,SERVICE IP
B17-38899,Friday,NIGHT,FOLLOW UP
B17-38898,Thursday,NIGHT,TRAFFIC STOP
B17-38896,Thursday,NIGHT,DRUGS NP
B17-38906,Thursday,NIGHT,NOISE
B17-38897,Thursday,NIGHT,NOISE
B17-38895,Thursday,NIGHT,DOMESTIC IP
B17-38903,Thursday,NIGHT,FOLLOW UP
B17-38893,Thursday,NIGHT,MOTORIST ASSIST
B17-38894,Thursday,NIGHT,SUSP ACT IP
B17-38892,Thursday,NIGHT,SERVICE IP
B17-38891,Thursday,NIGHT,TRAFFIC STOP
B17-38890,Thursday,NIGHT,DRUNK
B17-38889,Thursday,NIGHT,DRUNK
B17-38888,Thursday,NIGHT,TRAFFIC STOP
B17-38887,Thursday,NIGHT,TRAFFIC STOP
B17-38886,Thursday,NIGHT,TRAFFIC STOP
B17-38885,Thursday,NIGHT,TRAFFIC STOP
B17-38884,Thursday,NIGHT,WELFARE CHK IP
B17-38883,Thursday,NIGHT,SUSP ACT IP
B17-38882,Thursday,NIGHT,DRUGS IP
B17-38881,Thursday,NIGHT,TRAFFIC STOP
B17-38878,Thursday,NIGHT,TRAFFIC STOP
B17-38877,Thursday,NIGHT,SUSP ACT IP
B17-38879,Thursday,NIGHT,NOISE
B17-38876,Thursday,NIGHT,DISTURBANCE IP
B17-38880,Thursday,NIGHT,ACCIDENT PD IP
B17-38875,Thursday,NIGHT,THEFT IP
B17-38873,Thursday,NIGHT,WELFARE CHK IP
B17-38872,Thursday,NIGHT,ACCIDENT PI
B17-38874,Thursday,NIGHT,FOLLOW UP
B17-38871,Thursday,NIGHT,RUNAWAY
B17-38870,Thursday,NIGHT,VANDALISM NP
B17-38869,Thursday,NIGHT,ATL
B17-38868,Thursday,NIGHT,ALARM
B17-38867,Thursday,NIGHT,WELFARE CHK IP
B17-38866,Thursday,DAY,SERVICE IP
B17-38865,Thursday,DAY,TRAFFIC STOP
B17-38863,Thursday,DAY,TRAFFIC STOP
B17-38862,Thursday,DAY,FOLLOW UP
B17-38861,Thursday,DAY,WELFARE CHK IP
B17-38860,Thursday,DAY,SUSP ACT IP
B17-38864,Thursday,DAY,HARASSMENT NP
B17-38857,Thursday,DAY,ACCIDENT PD IP
B17-38858,Thursday,DAY,ACCIDENT PD IP
B17-38859,Thursday,DAY,THEFT NP
B17-38856,Thursday,DAY,CIVIL IP
B17-38994,Thursday,DAY,THEFT NP
B17-38854,Thursday,DAY,THEFT IP
B17-38855,Thursday,DAY,THEFT IP
B17-38853,Thursday,DAY,WARRANT SERVICE
B17-38851,Thursday,DAY,COMM ENGAGEMENT
B17-38852,Thursday,DAY,SEX ASSAULT NP
B17-38850,Thursday,DAY,SERVICE IP
B17-38848,Thursday,DAY,FOLLOW UP
B17-38849,Thursday,DAY,ATL
B17-38847,Thursday,DAY,ATL
B17-38846,Thursday,DAY,DOMESTIC IP
B17-38844,Thursday,DAY,DOMESTIC IP
B17-38842,Thursday,DAY,TRAFFIC STOP
B17-38843,Thursday,DAY,TRAFFIC HAZARD
B17-38841,Thursday,DAY,ASSAULT IP
B17-38845,Thursday,DAY,ABANDONED VEH
B17-38838,Thursday,DAY,TRAFFIC STOP
B17-38839,Thursday,DAY,ACCIDENT PD IP
B17-38837,Thursday,DAY,TRAFFIC STOP
B17-38840,Thursday,DAY,ATL
B17-38836,Thursday,DAY,WELFARE CHK IP
B17-38834,Thursday,DAY,PROPERTY
B17-38833,Thursday,DAY,ALARM
B17-38835,Thursday,DAY,VANDALISM NP
B17-38831,Thursday,DAY,TRAFFIC STOP
