Case Number,Date Reported,Time Reported,Month Reported,Day of Week Reported,Nature of Call for Service,District,Agency,Report/No Report
B16-05205,2/10/16,5:35 AM,February,Wednesday,ASSIGNED DETAIL,LB503,BPD,No report
B16-05204,2/10/16,4:13 AM,February,Wednesday,ALARM,LB316,BPD,Report
B16-05203,2/10/16,12:40 AM,February,Wednesday,NOISE,LB102,BPD,No report
B16-05202,2/10/16,12:21 AM,February,Wednesday,TRAFFIC STOP,LIU10,BPD,No report
B16-05201,2/10/16,12:16 AM,February,Wednesday,TRAFFIC STOP,LB305,BPD,No report
B16-05200,2/10/16,12:07 AM,February,Wednesday,TRAFFIC STOP,LB305,BPD,No report
B16-05199,2/10/16,12:00 AM,February,Wednesday,BURGLARY IP,LB313,BPD,No report
B16-05198,2/9/16,11:35 PM,February,Tuesday,TRAFFIC STOP,LB326,BPD,No report
B16-05196,2/9/16,10:53 PM,February,Tuesday,DRUGS NP,LB316,BPD,Report
B16-05197,2/9/16,10:36 PM,February,Tuesday,ACCIDENT PD IP,LB524,BPD,No report
B16-05194,2/9/16,9:20 PM,February,Tuesday,ACCIDENT LSA NP,LB315,BPD,Report
B16-05193,2/9/16,9:02 PM,February,Tuesday,ALARM,LB103,BPD,No report
B16-05192,2/9/16,8:40 PM,February,Tuesday,ASSAULT IP,LB101,BPD,No report
B16-05190,2/9/16,8:33 PM,February,Tuesday,SERVICE IP,LB513,BPD,Report
B16-05195,2/9/16,8:33 PM,February,Tuesday,ABUSE NP,LB305,BPD,No report
B16-05189,2/9/16,8:23 PM,February,Tuesday,EXTRA PATROL,LB304,BPD,No report
B16-05188,2/9/16,8:04 PM,February,Tuesday,ALARM,LB310,BPD,No report
B16-05187,2/9/16,7:59 PM,February,Tuesday,DRUGS IP,LMS16,BPD,Report
B16-05191,2/9/16,7:55 PM,February,Tuesday,MOTORIST ASSIST,LMN6,BPD,No report
B16-05185,2/9/16,7:55 PM,February,Tuesday,THEFT NP,LB508,BPD,Report
B16-05183,2/9/16,7:54 PM,February,Tuesday,ACCIDENT PD IP,LB101,BPD,No report
B16-05182,2/9/16,7:43 PM,February,Tuesday,TRAFFIC STOP,LB409,BPD,No report
B16-05181,2/9/16,7:29 PM,February,Tuesday,WELFARE CHK IP,LB328,BPD,No report
B16-05186,2/9/16,7:23 PM,February,Tuesday,FOLLOW UP,LB310,BPD,No report
B16-05184,2/9/16,7:22 PM,February,Tuesday,VEH THEFT NP,LB221,BPD,Report
B16-05180,2/9/16,7:14 PM,February,Tuesday,ACCIDENT PD IP,LB523,BPD,No report
B16-05179,2/9/16,6:43 PM,February,Tuesday,THEFT IP,LB305,BPD,Report
B16-05178,2/9/16,6:26 PM,February,Tuesday,ACCIDENT PD IP,LB519,BPD,No report
B16-05177,2/9/16,6:15 PM,February,Tuesday,BURGLARY IP,LB415,BPD,No report
B16-05176,2/9/16,6:06 PM,February,Tuesday,PARKING,LB309,BPD,No report
B16-05175,2/9/16,5:44 PM,February,Tuesday,FRAUD,LB409,BPD,Report
B16-05173,2/9/16,5:41 PM,February,Tuesday,MOTORIST ASSIST,LB103,BPD,No report
B16-05174,2/9/16,5:40 PM,February,Tuesday,TRESPASS IP,LB102,BPD,No report
B16-05170,2/9/16,5:23 PM,February,Tuesday,ALARM,LB101,BPD,No report
B16-05171,2/9/16,5:13 PM,February,Tuesday,ATL,LB524,BPD,No report
B16-05172,2/9/16,5:10 PM,February,Tuesday,SUSP ACT IP,LB102,BPD,No report
B16-05168,2/9/16,5:00 PM,February,Tuesday,THEFT IP,LB305,BPD,Report
B16-05169,2/9/16,4:58 PM,February,Tuesday,DOMESTIC IP,LB412,BPD,Report
B16-05167,2/9/16,4:50 PM,February,Tuesday,ANIMAL,LB314,BPD,No report
B16-05166,2/9/16,4:34 PM,February,Tuesday,DOMESTIC IP,LB101,BPD,No report
B16-05163,2/9/16,4:09 PM,February,Tuesday,FOLLOW UP,LB104,BPD,No report
B16-05164,2/9/16,4:09 PM,February,Tuesday,DOMESTIC IP,LB102,BPD,No report
B16-05162,2/9/16,4:04 PM,February,Tuesday,SERIAL MOTOR CH,LB218,BPD,No report
B16-05161,2/9/16,3:47 PM,February,Tuesday,ATL,LB522,BPD,No report
B16-05160,2/9/16,3:34 PM,February,Tuesday,HARASSMENT NP,LB517,BPD,No report
B16-05165,2/9/16,3:31 PM,February,Tuesday,FOLLOW UP,LB512,BPD,No report
B16-05159,2/9/16,3:24 PM,February,Tuesday,SERVICE IP,LB221,BPD,No report
B16-05158,2/9/16,2:55 PM,February,Tuesday,ABANDONED VEH,LB421,BPD,No report
B16-05155,2/9/16,2:53 PM,February,Tuesday,FOLLOW UP,LB104,BPD,No report
B16-05156,2/9/16,2:51 PM,February,Tuesday,ACCIDENT LSA NP,LB406,BPD,Report
B16-05153,2/9/16,2:50 PM,February,Tuesday,MOTORIST ASSIST,LB310,BPD,No report
B16-05154,2/9/16,2:47 PM,February,Tuesday,THEFT NP,LB309,BPD,Report
B16-05157,2/9/16,2:47 PM,February,Tuesday,FRAUD,LB103,BPD,Report
B16-05152,2/9/16,2:18 PM,February,Tuesday,ALARM,LB331,BPD,No report
B16-05151,2/9/16,2:11 PM,February,Tuesday,EXTRA PATROL,LB212,BPD,No report
B16-05150,2/9/16,2:00 PM,February,Tuesday,SUSP ACT NP,LB104,BPD,No report
B16-05149,2/9/16,1:55 PM,February,Tuesday,FOLLOW UP,LB104,BPD,No report
B16-05148,2/9/16,1:32 PM,February,Tuesday,WELFARE CHK IP,LB523,BPD,Report
B16-05147,2/9/16,1:12 PM,February,Tuesday,TRAFFIC HAZARD,LB311,BPD,No report
B16-05146,2/9/16,12:44 PM,February,Tuesday,TRAFFIC STOP,LB210,BPD,No report
B16-05145,2/9/16,12:39 PM,February,Tuesday,FOLLOW UP,LB104,BPD,No report
B16-05144,2/9/16,12:15 PM,February,Tuesday,EXTRA PATROL,LB101,BPD,No report
B16-05143,2/9/16,11:56 AM,February,Tuesday,FOLLOW UP,LB221,BPD,No report
B16-05142,2/9/16,11:39 AM,February,Tuesday,ACCIDENT LSA NP,LB102,BPD,Report
B16-05141,2/9/16,11:22 AM,February,Tuesday,SERIAL MOTOR CH,LB104,BPD,No report
B16-05139,2/9/16,11:11 AM,February,Tuesday,FOLLOW UP,LB104,BPD,No report
B16-05140,2/9/16,10:58 AM,February,Tuesday,RECOVERED VT,LB424,BPD,No report
B16-05138,2/9/16,10:49 AM,February,Tuesday,RECOVERED VT,LMS27,BPD,No report
B16-05137,2/9/16,10:24 AM,February,Tuesday,ALARM,LB517,BPD,No report
B16-05136,2/9/16,10:17 AM,February,Tuesday,ABANDONED VEH,LB517,BPD,No report
B16-05135,2/9/16,9:51 AM,February,Tuesday,ACCIDENT PD NP,LB508,BPD,Report
B16-05134,2/9/16,9:40 AM,February,Tuesday,SERVICE NP,LB101,BPD,No report
B16-05133,2/9/16,9:35 AM,February,Tuesday,ALARM,LB512,BPD,No report
B16-05132,2/9/16,9:15 AM,February,Tuesday,FOLLOW UP,LB310,BPD,No report
B16-05130,2/9/16,9:10 AM,February,Tuesday,EXTRA PATROL,LB410,BPD,No report
B16-05131,2/9/16,9:09 AM,February,Tuesday,THEFT NP,LB523,BPD,Report
B16-05129,2/9/16,9:06 AM,February,Tuesday,ABANDONED VEH,LB417,BPD,Report
B16-05128,2/9/16,9:00 AM,February,Tuesday,VANDALISM NP,LB508,BPD,Report
B16-05127,2/9/16,8:30 AM,February,Tuesday,ATL,LB404,BPD,No report
B16-05126,2/9/16,8:26 AM,February,Tuesday,MOTORIST ASSIST,LB317,BPD,No report
B16-05125,2/9/16,8:18 AM,February,Tuesday,TRAFFIC STOP,LB412,BPD,No report
B16-05124,2/9/16,8:07 AM,February,Tuesday,TRAFFIC STOP,LB305,BPD,No report
B16-05123,2/9/16,7:50 AM,February,Tuesday,FOLLOW UP,LB333,BPD,No report
B16-05122,2/9/16,7:19 AM,February,Tuesday,EXTRA PATROL,LB102,BPD,No report
B16-05121,2/9/16,7:16 AM,February,Tuesday,TRAFFIC STOP,LB221,BPD,No report
B16-05120,2/9/16,6:40 AM,February,Tuesday,SUSP ACT IP,LB405,BPD,No report
B16-05119,2/9/16,6:00 AM,February,Tuesday,SERVICE IP,LB410,BPD,No report
B16-05118,2/9/16,5:59 AM,February,Tuesday,SERVICE IP,LB503,BPD,No report
B16-05117,2/9/16,2:36 AM,February,Tuesday,HARASSMENT NP,LB521,BPD,No report
B16-05116,2/9/16,1:30 AM,February,Tuesday,TRAFFIC STOP,LB414,BPD,Report
B16-05115,2/9/16,12:41 AM,February,Tuesday,DOMESTIC IP,LB212,BPD,No report
B16-05114,2/9/16,12:15 AM,February,Tuesday,FVEHICLE FIRE,LB218,BPD,Report
B16-05113,2/8/16,11:44 PM,February,Monday,SUSP ACT IP,LB513,BPD,No report
B16-05112,2/8/16,11:04 PM,February,Monday,SUSP ACT IP,LB406,BPD,No report
B16-05111,2/8/16,10:09 PM,February,Monday,FIREWORKS,LB406,BPD,No report
B16-05108,2/8/16,9:40 PM,February,Monday,WELFARE CHK IP,LB104,BPD,No report
B16-05110,2/8/16,9:26 PM,February,Monday,THEFT NP,LB403,BPD,Report
B16-05109,2/8/16,9:23 PM,February,Monday,SUSP ACT IP,LB403,BPD,No report
B16-05107,2/8/16,8:57 PM,February,Monday,MOTORIST ASSIST,LB330,BPD,No report
B16-05106,2/8/16,8:41 PM,February,Monday,ACCIDENT LSA NP,LB212,BPD,Report
B16-05104,2/8/16,8:38 PM,February,Monday,FOLLOW UP,LB104,BPD,No report
B16-05105,2/8/16,8:24 PM,February,Monday,ATL,LB509,BPD,No report
B16-05101,2/8/16,8:20 PM,February,Monday,SUSP ACT IP,LB513,BPD,No report
B16-05103,2/8/16,8:20 PM,February,Monday,CIVIL IP,LB104,BPD,No report
B16-05102,2/8/16,8:17 PM,February,Monday,FRAUD,LB402,BPD,Report
B16-05100,2/8/16,8:00 PM,February,Monday,ACCIDENT PD IP,LB310,BPD,No report
B16-05099,2/8/16,7:54 PM,February,Monday,EXTRA PATROL,LB221,BPD,No report
B16-05098,2/8/16,7:45 PM,February,Monday,ALARM,LB403,BPD,No report
B16-05097,2/8/16,7:28 PM,February,Monday,VEH THEFT NP,LB424,BPD,Report
B16-05096,2/8/16,7:16 PM,February,Monday,SUSP ACT NP,LB104,BPD,No report
B16-05094,2/8/16,7:05 PM,February,Monday,FOLLOW UP,LB336,BPD,No report
B16-05095,2/8/16,7:02 PM,February,Monday,BURGLARY NP,LB512,BPD,Report
B16-05093,2/8/16,6:37 PM,February,Monday,HARASSMENT NP,LB519,BPD,No report
B16-05092,2/8/16,6:15 PM,February,Monday,ACCIDENT PD IP,LB101,BPD,No report
B16-05090,2/8/16,6:03 PM,February,Monday,THEFT NP,LB305,BPD,Report
B16-05089,2/8/16,6:01 PM,February,Monday,THEFT NP,LB305,BPD,Report
B16-05088,2/8/16,5:58 PM,February,Monday,ACCIDENT PD IP,LB213,BPD,No report
B16-05087,2/8/16,5:56 PM,February,Monday,DOMESTIC IP,LB518,BPD,No report
B16-05091,2/8/16,5:44 PM,February,Monday,PROPERTY,LB104,BPD,No report
B16-05086,2/8/16,5:41 PM,February,Monday,ACCIDENT PD IP,LB509,BPD,Report
B16-05084,2/8/16,5:32 PM,February,Monday,ACCIDENT PD IP,LB104,BPD,No report
B16-05085,2/8/16,5:31 PM,February,Monday,ATL,LB509,BPD,No report
B16-05083,2/8/16,5:25 PM,February,Monday,ACCIDENT PD IP,LB412,BPD,No report
B16-05081,2/8/16,5:15 PM,February,Monday,WELFARE CHK IP,LB517,BPD,No report
B16-05082,2/8/16,5:15 PM,February,Monday,ACCIDENT PD IP,LB433,BPD,No report
B16-05079,2/8/16,4:40 PM,February,Monday,THEFT IP,LB305,BPD,Report
B16-05078,2/8/16,4:37 PM,February,Monday,ACCIDENT PD IP,LB402,BPD,No report
B16-05080,2/8/16,4:37 PM,February,Monday,DOMESTIC IP,LB309,BPD,No report
B16-05077,2/8/16,4:24 PM,February,Monday,SERVICE IP,LB521,BPD,Report
B16-05075,2/8/16,4:17 PM,February,Monday,FOLLOW UP,LB104,BPD,No report
B16-05074,2/8/16,4:10 PM,February,Monday,WELFARE CHK IP,LB102,BPD,No report
B16-05073,2/8/16,4:06 PM,February,Monday,EXTRA PATROL,LB102,BPD,No report
B16-05072,2/8/16,4:04 PM,February,Monday,HARASSMENT NP,LB421,BPD,No report
B16-05076,2/8/16,3:57 PM,February,Monday,FOLLOW UP,LB511,BPD,No report
B16-05071,2/8/16,3:43 PM,February,Monday,DOMESTIC IP,LB404,BPD,Report
B16-05070,2/8/16,3:28 PM,February,Monday,WELFARE CHK IP,LB104,BPD,No report
B16-05069,2/8/16,3:14 PM,February,Monday,THEFT NP,LB413,BPD,Report
B16-05064,2/8/16,2:40 PM,February,Monday,HARASSMENT NP,LB305,BPD,No report
B16-05066,2/8/16,2:28 PM,February,Monday,WELFARE CHK IP,LB402,BPD,No report
B16-05067,2/8/16,2:28 PM,February,Monday,PARKING,LB409,BPD,No report
B16-05063,2/8/16,2:14 PM,February,Monday,DRUNK,LB104,BPD,No report
B16-05065,2/8/16,2:13 PM,February,Monday,BURGLARY NP,LB404,BPD,Report
B16-05062,2/8/16,1:49 PM,February,Monday,WELFARE CHK IP,LB303,BPD,No report
B16-05059,2/8/16,1:46 PM,February,Monday,DRUGS IP,,BPD,Report
B16-05058,2/8/16,1:41 PM,February,Monday,FOLLOW UP,LB104,BPD,No report
B16-05061,2/8/16,1:27 PM,February,Monday,THEFT NP,,BPD,No report
B16-05057,2/8/16,1:24 PM,February,Monday,TRAFFIC STOP,LB406,BPD,No report
B16-05060,2/8/16,1:19 PM,February,Monday,DRUGS IP,LB307,BPD,No report
B16-05068,2/8/16,1:03 PM,February,Monday,PROPERTY,LB213,BPD,No report
B16-05056,2/8/16,1:01 PM,February,Monday,ALARM,,BPD,No report
B16-05054,2/8/16,12:45 PM,February,Monday,TRESPASS NP,,BPD,No report
B16-05055,2/8/16,12:44 PM,February,Monday,ABANDONED VEH,LB417,BPD,No report
B16-05053,2/8/16,12:38 PM,February,Monday,SERVICE IP,LB513,BPD,No report
B16-05052,2/8/16,12:34 PM,February,Monday,EXTRA PATROL,LB102,BPD,No report
B16-05051,2/8/16,12:28 PM,February,Monday,FOLLOW UP,LB104,BPD,No report
B16-05050,2/8/16,12:20 PM,February,Monday,WELFARE CHK IP,,BPD,Report
B16-05047,2/8/16,11:59 AM,February,Monday,WELFARE CHK IP,,BPD,No report
B16-05049,2/8/16,11:52 AM,February,Monday,THEFT NP,LB404,BPD,Report
B16-05046,2/8/16,11:50 AM,February,Monday,EXTRA PATROL,,BPD,No report
B16-05045,2/8/16,11:50 AM,February,Monday,EXTRA PATROL,,BPD,No report
B16-05048,2/8/16,11:48 AM,February,Monday,THEFT NP,LB421,BPD,Report
B16-05043,2/8/16,11:44 AM,February,Monday,THEFT NP,,BPD,No report
B16-05044,2/8/16,11:41 AM,February,Monday,DOMESTIC IP,LB212,BPD,No report
B16-05042,2/8/16,11:36 AM,February,Monday,WELFARE CHK IP,LB329,BPD,No report
B16-05040,2/8/16,11:30 AM,February,Monday,TRAFFIC STOP,LB308,BPD,No report
B16-05041,2/8/16,11:30 AM,February,Monday,DISTURBANCE IP,LB329,BPD,No report
B16-05039,2/8/16,11:21 AM,February,Monday,TRAFFIC STOP,,BPD,No report
B16-05038,2/8/16,11:07 AM,February,Monday,VEH THEFT NP,LB102,BPD,No report
B16-05036,2/8/16,10:30 AM,February,Monday,FOLLOW UP,LB104,BPD,No report
B16-05037,2/8/16,10:13 AM,February,Monday,FRAUD,LB415,BPD,Report
B16-05035,2/8/16,9:58 AM,February,Monday,ASSAULT IP,,BPD,Report
B16-05034,2/8/16,9:55 AM,February,Monday,FOLLOW UP,LB415,BPD,No report
B16-05033,2/8/16,9:46 AM,February,Monday,DRUGS IP,LB402,BPD,No report
B16-05032,2/8/16,9:36 AM,February,Monday,WELFARE CHK IP,LB408,BPD,No report
B16-05030,2/8/16,9:24 AM,February,Monday,FOLLOW UP,LB104,BPD,No report
B16-05031,2/8/16,9:23 AM,February,Monday,ACCIDENT PD IP,LB221,BPD,Report
B16-05029,2/8/16,9:23 AM,February,Monday,ACCIDENT PD IP,,BPD,No report
B16-05028,2/8/16,8:49 AM,February,Monday,FOLLOW UP,LB409,BPD,No report
B16-05027,2/8/16,8:38 AM,February,Monday,DOMESTIC IP,LB104,BPD,Report
B16-05026,2/8/16,8:25 AM,February,Monday,PROPERTY,LB524,BPD,No report
B16-05025,2/8/16,8:24 AM,February,Monday,PROPERTY,LB519,BPD,No report
B16-05024,2/8/16,8:23 AM,February,Monday,PROPERTY,LB326,BPD,Report
B16-05023,2/8/16,8:19 AM,February,Monday,DOMESTIC IP,LB221,BPD,No report
B16-05022,2/8/16,8:08 AM,February,Monday,SERVICE IP,LB310,BPD,No report
B16-05020,2/8/16,8:04 AM,February,Monday,SERVICE IP,LB208,BPD,Report
B16-05021,2/8/16,8:03 AM,February,Monday,WELFARE CHK IP,LB405,BPD,No report
B16-05019,2/8/16,6:53 AM,February,Monday,MOTORIST ASSIST,LB328,BPD,No report
B16-05018,2/8/16,6:48 AM,February,Monday,SUSP ACT IP,LB504,BPD,No report
B16-05017,2/8/16,6:27 AM,February,Monday,TRAFFIC STOP,LB404,BPD,No report
B16-05016,2/8/16,5:57 AM,February,Monday,ASSIGNED DETAIL,LB410,BPD,No report
B16-05015,2/8/16,5:34 AM,February,Monday,ASSIGNED DETAIL,LB503,BPD,No report
B16-05014,2/8/16,5:15 AM,February,Monday,SUSP ACT IP,LB220,BPD,No report
B16-05013,2/8/16,3:55 AM,February,Monday,ALARM,LB422,BPD,No report
B16-05012,2/8/16,3:36 AM,February,Monday,SERVICE IP,LB212,BPD,No report
B16-05011,2/8/16,1:46 AM,February,Monday,ALARM,LB310,BPD,No report
B16-05010,2/8/16,1:39 AM,February,Monday,ATL,LB209,BPD,No report
B16-05009,2/8/16,1:37 AM,February,Monday,DRUNK,LB104,BPD,No report
B16-05008,2/8/16,1:27 AM,February,Monday,SEX ASSAULT NP,LB423,BPD,Report
B16-05007,2/8/16,1:14 AM,February,Monday,FOLLOW UP,LB218,BPD,No report
B16-05006,2/8/16,1:01 AM,February,Monday,DOMESTIC IP,LB331,BPD,No report
B16-05004,2/8/16,12:57 AM,February,Monday,SUSP ACT IP,LB303,BPD,No report
B16-05005,2/8/16,12:51 AM,February,Monday,HARASSMENT NP,LB310,BPD,No report
B16-05003,2/8/16,12:38 AM,February,Monday,ATL,LB406,BPD,No report
B16-05002,2/8/16,12:29 AM,February,Monday,VANDALISM IP,LB517,BPD,Report
B16-05001,2/8/16,12:18 AM,February,Monday,SERVICE IP,LB336,BPD,Report
B16-05000,2/8/16,12:16 AM,February,Monday,RUNAWAY,LB433,BPD,No report
B16-04999,2/7/16,11:00 PM,February,Sunday,FIGHT IP,LB101,BPD,No report
B16-04998,2/7/16,10:50 PM,February,Sunday,SERVICE IP,LMS29,BPD,Report
B16-04997,2/7/16,10:29 PM,February,Sunday,ATL,LB405,BPD,No report
B16-04996,2/7/16,10:11 PM,February,Sunday,FOLLOW UP,LB412,BPD,No report
B16-04995,2/7/16,10:11 PM,February,Sunday,FOLLOW UP,LB412,BPD,No report
B16-04993,2/7/16,9:42 PM,February,Sunday,WELFARE CHK IP,LB316,BPD,Report
B16-04992,2/7/16,9:20 PM,February,Sunday,RUNAWAY,LB517,BPD,Report
B16-04991,2/7/16,9:09 PM,February,Sunday,FOLLOW UP,LB326,BPD,No report
B16-04990,2/7/16,9:05 PM,February,Sunday,SERVICE IP,LB517,BPD,No report
B16-04989,2/7/16,8:57 PM,February,Sunday,BURGLARY NP,LB326,BPD,No report
B16-04988,2/7/16,8:51 PM,February,Sunday,FIREWORKS,LB323,BPD,No report
B16-04987,2/7/16,8:40 PM,February,Sunday,DOMESTIC IP,LB424,BPD,No report
B16-04994,2/7/16,8:37 PM,February,Sunday,NOISE,LB513,BPD,No report
B16-04986,2/7/16,8:29 PM,February,Sunday,SUSP ACT NP,LB102,BPD,No report
B16-04985,2/7/16,8:16 PM,February,Sunday,PARKING,LB412,BPD,Report
B16-04984,2/7/16,8:16 PM,February,Sunday,ALARM,LB221,BPD,No report
B16-04983,2/7/16,7:54 PM,February,Sunday,SERVICE IP,LB513,BPD,No report
B16-04982,2/7/16,7:49 PM,February,Sunday,SUSP ACT IP,LB403,BPD,No report
B16-04981,2/7/16,7:46 PM,February,Sunday,SUSP ACT IP,LB104,BPD,No report
B16-04980,2/7/16,7:31 PM,February,Sunday,NOISE,LB213,BPD,No report
B16-04978,2/7/16,6:56 PM,February,Sunday,ACCIDENT PD IP,LB310,BPD,No report
B16-04979,2/7/16,6:47 PM,February,Sunday,SERVICE IP,LB424,BPD,No report
B16-04977,2/7/16,6:44 PM,February,Sunday,SUSP ACT IP,LB519,BPD,No report
B16-04976,2/7/16,6:36 PM,February,Sunday,ALARM,LB518,BPD,No report
B16-04975,2/7/16,6:27 PM,February,Sunday,VANDALISM NP,LB315,BPD,Report
B16-04974,2/7/16,6:16 PM,February,Sunday,EXTRA PATROL,LB102,BPD,No report
B16-04973,2/7/16,6:13 PM,February,Sunday,FRAUD,LB415,BPD,No report
B16-04972,2/7/16,6:05 PM,February,Sunday,DISTURBANCE IP,LB513,BPD,No report
B16-04971,2/7/16,5:59 PM,February,Sunday,TRESPASS IP,LB102,BPD,No report
B16-04970,2/7/16,5:30 PM,February,Sunday,CIVIL IP,LB513,BPD,No report
B16-04969,2/7/16,5:25 PM,February,Sunday,ALARM,LMN06,BPD,No report
B16-04968,2/7/16,5:20 PM,February,Sunday,HARASSMENT IP,LB423,BPD,No report
B16-04967,2/7/16,5:15 PM,February,Sunday,ANIMAL,LB323,BPD,No report
B16-04966,2/7/16,5:00 PM,February,Sunday,WELFARE CHK IP,LB102,BPD,No report
B16-04965,2/7/16,4:49 PM,February,Sunday,EXTRA PATROL,LB411,BPD,No report
B16-04963,2/7/16,4:15 PM,February,Sunday,EXTRA PATROL,LB102,BPD,No report
B16-04964,2/7/16,4:13 PM,February,Sunday,ATL,LB305,BPD,No report
B16-04962,2/7/16,4:10 PM,February,Sunday,PROPERTY,LB222,BPD,No report
B16-04961,2/7/16,3:55 PM,February,Sunday,ALARM,LB335,BPD,No report
B16-04960,2/7/16,3:53 PM,February,Sunday,ALARM,LB508,BPD,No report
B16-04959,2/7/16,3:48 PM,February,Sunday,SUSP ACT IP,LB408,BPD,No report
B16-04958,2/7/16,3:46 PM,February,Sunday,DRUGS IP,LB213,BPD,No report
B16-04957,2/7/16,3:23 PM,February,Sunday,DRUGS IP,LB336,BPD,No report
B16-04956,2/7/16,3:13 PM,February,Sunday,ROV NP,LB213,BPD,No report
B16-04955,2/7/16,3:03 PM,February,Sunday,MOTORIST ASSIST,LB102,BPD,No report
B16-04954,2/7/16,2:51 PM,February,Sunday,SERVICE IP,LB521,BPD,No report
B16-04953,2/7/16,2:44 PM,February,Sunday,ALARM,LB508,BPD,No report
B16-04952,2/7/16,2:18 PM,February,Sunday,ASSIGNED DETAIL,LB410,BPD,No report
B16-04951,2/7/16,2:16 PM,February,Sunday,PARKING,LB213,BPD,No report
B16-04948,2/7/16,2:08 PM,February,Sunday,ATL,LIU13,BPD,No report
B16-04949,2/7/16,2:07 PM,February,Sunday,DOMESTIC IP,LB404,BPD,No report
B16-04947,2/7/16,2:01 PM,February,Sunday,TRAFFIC HAZARD,LB423,BPD,No report
B16-04950,2/7/16,1:43 PM,February,Sunday,PARKING,LB301,BPD,No report
B16-04946,2/7/16,1:34 PM,February,Sunday,THEFT NP,LB517,BPD,Report
B16-04945,2/7/16,1:25 PM,February,Sunday,PARKING,LB301,BPD,No report
B16-04944,2/7/16,1:20 PM,February,Sunday,DISTURBANCE IP,LB221,BPD,No report
B16-04943,2/7/16,12:47 PM,February,Sunday,EXTRA PATROL,LB510,BPD,No report
B16-04942,2/7/16,12:32 PM,February,Sunday,EXTRA PATROL,LB102,BPD,No report
B16-04941,2/7/16,12:01 PM,February,Sunday,SUSP ACT IP,LB104,BPD,No report
B16-04940,2/7/16,11:57 AM,February,Sunday,DISTURBANCE IP,LB304,BPD,No report
B16-04939,2/7/16,11:51 AM,February,Sunday,ASSAULT IP,LB309,BPD,No report
B16-04938,2/7/16,11:37 AM,February,Sunday,SUSP ACT IP,LB213,BPD,No report
B16-04937,2/7/16,11:18 AM,February,Sunday,FRAUD,LB418,BPD,Report
B16-04936,2/7/16,11:03 AM,February,Sunday,ALARM,LB335,BPD,No report
B16-04934,2/7/16,10:25 AM,February,Sunday,TRAFFIC STOP,LB320,BPD,No report
B16-04935,2/7/16,10:21 AM,February,Sunday,MENTAL HEALTH,LB409,BPD,No report
B16-04933,2/7/16,10:13 AM,February,Sunday,SERVICE IP,LB329,BPD,No report
B16-04932,2/7/16,10:03 AM,February,Sunday,FOLLOW UP,LB409,BPD,No report
B16-04931,2/7/16,10:01 AM,February,Sunday,HARASSMENT NP,LB424,BPD,No report
B16-04930,2/7/16,9:51 AM,February,Sunday,THEFT NP,LB314,BPD,Report
B16-04928,2/7/16,9:36 AM,February,Sunday,MENTAL HEALTH,LB104,BPD,No report
B16-04929,2/7/16,9:32 AM,February,Sunday,TRAFFIC HAZARD,LB301,BPD,No report
B16-04927,2/7/16,9:32 AM,February,Sunday,DOMESTIC IP,LB517,BPD,No report
B16-04926,2/7/16,9:14 AM,February,Sunday,SUSP ACT IP,LB510,BPD,No report
B16-04925,2/7/16,6:55 AM,February,Sunday,TRAFFIC HAZARD,LB212,BPD,No report
B16-04924,2/7/16,6:07 AM,February,Sunday,SERVICE IP,LB410,BPD,No report
B16-04923,2/7/16,5:07 AM,February,Sunday,NOISE,LB309,BPD,No report
B16-04922,2/7/16,4:53 AM,February,Sunday,VANDALISM IP,LB213,BPD,Report
B16-04921,2/7/16,4:40 AM,February,Sunday,DOMESTIC IP,LMS31,BPD,No report
B16-04919,2/7/16,3:27 AM,February,Sunday,ALARM,LB408,BPD,No report
B16-04917,2/7/16,3:18 AM,February,Sunday,FIGHT IP,LB102,BPD,No report
B16-04918,2/7/16,3:12 AM,February,Sunday,WELFARE CHK IP,LB212,BPD,No report
B16-04916,2/7/16,3:10 AM,February,Sunday,ALARM,LB404,BPD,No report
B16-04915,2/7/16,2:53 AM,February,Sunday,WEAPONS IP,LB212,BPD,No report
B16-04914,2/7/16,2:41 AM,February,Sunday,SERVICE IP,LB101,BPD,No report
B16-04920,2/7/16,2:32 AM,February,Sunday,NOISE,LB404,BPD,No report
B16-04912,2/7/16,2:32 AM,February,Sunday,WELFARE CHK IP,LB404,BPD,No report
B16-04911,2/7/16,2:30 AM,February,Sunday,DISTURBANCE IP,LB101,BPD,No report
B16-04913,2/7/16,2:29 AM,February,Sunday,TRESPASS IP,LB102,BPD,No report
B16-04910,2/7/16,1:50 AM,February,Sunday,TRESPASS IP,LB521,BPD,No report
B16-04907,2/7/16,12:42 AM,February,Sunday,SUSP ACT IP,LB406,BPD,No report
B16-04909,2/7/16,12:35 AM,February,Sunday,NOISE,LB310,BPD,No report
B16-04906,2/7/16,12:26 AM,February,Sunday,WELFARE CHK NP,LB328,BPD,No report
B16-04908,2/7/16,12:22 AM,February,Sunday,NOISE,LB216,BPD,No report
B16-04904,2/7/16,12:20 AM,February,Sunday,ACCIDENT PD IP,LB212,BPD,No report
B16-04905,2/7/16,12:08 AM,February,Sunday,NOISE,LB301,BPD,No report
B16-04902,2/6/16,11:38 PM,February,Saturday,ASSAULT IP,LB102,BPD,Report
B16-04900,2/6/16,11:19 PM,February,Saturday,EXTRA PATROL,LB431,BPD,No report
